trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
300_0021,07:20,07:20,kollafjar_adalur_vi_effo,4,0,0
300_0021,07:25,07:25,kollafj_r_ur_tunnel,5,0,0
300_0021,07:50,07:50,torshavn,6,0,0
300_0022,07:50,07:50,s_rvagur,1,0,0
300_0022,08:00,08:00,vaga_airport_fl_gv_llurin,2,0,0
300_0022,08:05,08:05,mi_vagur,3,0,0
300_0022,08:10,08:10,sandavagur,4,0,0
300_0022,08:25,08:25,kollafjar_adalur_vi_effo,5,0,0
300_0022,08:30,08:30,kollafj_r_ur_tunnel,6,0,0
300_0022,08:50,08:50,torshavn,7,0,0
300_0023,08:55,08:55,s_rvagur,1,0,0
300_0023,09:05,09:05,vaga_airport_fl_gv_llurin,2,0,0
300_0023,09:15,09:15,mi_vagur,3,0,0
300_0023,09:20,09:20,sandavagur,4,0,0
300_0023,09:35,09:35,kollafjar_adalur_vi_effo,5,0,0
300_0023,09:40,09:40,kollafj_r_ur_tunnel,6,0,0
300_0023,10:00,10:00,torshavn,7,0,0
300_0024,10:20,10:20,s_rvagur,1,0,0
300_0024,10:30,10:30,vaga_airport_fl_gv_llurin,2,0,0
300_0024,10:40,10:40,mi_vagur,3,0,0
300_0024,10:45,10:45,sandavagur,4,0,0
300_0024,11:00,11:00,kollafjar_adalur_vi_effo,5,0,0
300_0024,11:05,11:05,kollafj_r_ur_tunnel,6,0,0
300_0024,11:25,11:25,torshavn,7,0,0
300_0025,13:50,13:50,s_rvagur,1,0,0
300_0025,14:25,14:25,vaga_airport_fl_gv_llurin,2,0,0
300_0025,14:35,14:35,mi_vagur,3,0,0
300_0025,14:40,14:40,sandavagur,4,0,0
300_0025,14:55,14:55,kollafjar_adalur_vi_effo,5,0,0
300_0025,15:00,15:00,kollafj_r_ur_tunnel,6,0,0
300_0025,15:20,15:20,torshavn,7,0,0
300_0026,16:30,16:30,s_rvagur,1,0,0
300_0026,16:40,16:40,vaga_airport_fl_gv_llurin,2,0,0
300_0026,16:50,16:50,mi_vagur,3,0,0
300_0026,16:55,16:55,sandavagur,4,0,0
300_0026,17:10,17:10,kollafjar_adalur_vi_effo,5,0,0
300_0026,17:15,17:15,kollafj_r_ur_tunnel,6,0,0
300_0026,17:35,17:35,torshavn,7,0,0
300_0027,17:35,17:35,s_rvagur,1,0,0
300_0027,17:45,17:45,vaga_airport_fl_gv_llurin,2,0,0
300_0027,17:55,17:55,mi_vagur,3,0,0
300_0027,18:00,18:00,sandavagur,4,0,0
300_0027,18:15,18:15,kollafjar_adalur_vi_effo,5,0,0
300_0027,18:20,18:20,kollafj_r_ur_tunnel,6,0,0
300_0027,18:40,18:40,torshavn,7,0,0
300_0028,20:30,20:30,vaga_airport_fl_gv_llurin,1,0,0
300_0028,21:00,21:00,sandavagur,2,0,0
300_0028,21:20,21:20,kollafjar_adalur_vi_effo,3,0,0
300_0029,07:50,07:50,s_rvagur,1,0,0
300_0029,08:05,08:05,mi_vagur,2,0,0
300_0029,08:10,08:10,sandavagur,3,0,0
300_0029,08:25,08:25,kollafjar_adalur_vi_effo,4,0,0
300_0029,08:30,08:30,kollafj_r_ur_tunnel,5,0,0
300_0029,08:50,08:50,torshavn,6,0,0
300_0030,10:20,10:20,s_rvagur,1,0,0
300_0030,10:30,10:30,vaga_airport_fl_gv_llurin,2,0,0
300_0030,10:40,10:40,mi_vagur,3,0,0
300_0030,10:45,10:45,sandavagur,4,0,0
300_0030,11:00,11:00,kollafjar_adalur_vi_effo,5,0,0
300_0030,11:05,11:05,kollafj_r_ur_tunnel,6,0,0
300_0030,11:25,11:25,torshavn,7,0,0
300_0031,13:50,13:50,s_rvagur,1,0,0
300_0031,14:15,14:15,vaga_airport_fl_gv_llurin,2,0,0
300_0031,14:25,14:25,mi_vagur,3,0,0
300_0031,14:30,14:30,sandavagur,4,0,0
300_0031,14:45,14:45,kollafjar_adalur_vi_effo,5,0,0
300_0031,14:50,14:50,kollafj_r_ur_tunnel,6,0,0
300_0031,15:10,15:10,torshavn,7,0,0
300_0032,17:05,17:05,s_rvagur,1,0,0
300_0032,17:15,17:15,vaga_airport_fl_gv_llurin,2,0,0
300_0032,17:25,17:25,mi_vagur,3,0,0
300_0032,17:30,17:30,sandavagur,4,0,0
300_0032,17:45,17:45,kollafjar_adalur_vi_effo,5,0,0
300_0032,17:50,17:50,kollafj_r_ur_tunnel,6,0,0
300_0032,18:10,18:10,torshavn,7,0,0
300_0033,20:30,20:30,vaga_airport_fl_gv_llurin,1,0,0
300_0033,20:55,20:55,kollafjar_adalur_vi_effo,2,0,0
300_0033,21:00,21:00,kollafj_r_ur_tunnel,3,0,0
300_0033,21:20,21:20,torshavn,4,0,0
300_0034,07:50,07:50,s_rvagur,1,0,0
300_0034,08:05,08:05,mi_vagur,2,0,0
300_0034,08:10,08:10,sandavagur,3,0,0
300_0034,08:25,08:25,kollafjar_adalur_vi_effo,4,0,0
300_0034,08:30,08:30,kollafj_r_ur_tunnel,5,0,0
300_0034,08:50,08:50,torshavn,6,0,0
300_0035,10:20,10:20,s_rvagur,1,0,0
300_0035,10:30,10:30,vaga_airport_fl_gv_llurin,2,0,0
300_0035,10:40,10:40,mi_vagur,3,0,0
300_0035,10:45,10:45,sandavagur,4,0,0
300_0035,11:00,11:00,kollafjar_adalur_vi_effo,5,0,0
300_0035,11:05,11:05,kollafj_r_ur_tunnel,6,0,0
300_0035,11:25,11:25,torshavn,7,0,0
300_0036,13:50,13:50,s_rvagur,1,0,0
300_0036,14:15,14:15,vaga_airport_fl_gv_llurin,2,0,0
300_0036,14:25,14:25,mi_vagur,3,0,0
300_0036,14:30,14:30,sandavagur,4,0,0
300_0036,14:45,14:45,kollafjar_adalur_vi_effo,5,0,0
300_0036,14:50,14:50,kollafj_r_ur_tunnel,6,0,0
300_0036,15:10,15:10,torshavn,7,0,0
300_0037,17:05,17:05,s_rvagur,1,0,0
300_0037,17:15,17:15,vaga_airport_fl_gv_llurin,2,0,0
300_0037,17:25,17:25,mi_vagur,3,0,0
300_0037,17:30,17:30,sandavagur,4,0,0
300_0037,17:45,17:45,kollafjar_adalur_vi_effo,5,0,0
